name,memory_size,memory_type,bus_speed,module_sticks,module_capacity,first_word_latency,cas_latency
Corsair Vengeance LPX,16.0,4,3200,2,8,10.0,16.0
Corsair Vengeance,32.0,5,5600,2,16,12.857,36.0
G.Skill Trident Z5 RGB,32.0,5,6000,2,16,12.0,36.0
Corsair Vengeance,32.0,5,6000,2,16,10.0,30.0
Corsair Vengeance RGB Pro,32.0,4,3600,2,16,10.0,18.0
G.Skill Trident Z5 RGB,64.0,5,6400,2,32,10.0,32.0
Corsair Vengeance LPX,32.0,4,3600,2,16,10.0,18.0
Corsair Vengeance RGB,32.0,5,6000,2,16,12.0,36.0
TEAMGROUP T-Force Delta RGB,32.0,5,6000,2,16,10.0,30.0
Corsair Vengeance RGB Pro,16.0,4,3200,2,8,10.0,16.0
Corsair Vengeance,16.0,5,5200,2,8,15.385,40.0
G.Skill Flare X5,32.0,5,6000,2,16,12.0,36.0
G.Skill Trident Z5 Neo RGB,32.0,5,6000,2,16,10.0,30.0
Silicon Power GAMING,16.0,4,3200,2,8,10.0,16.0
Corsair Vengeance,64.0,5,5200,2,32,15.385,40.0
G.Skill Ripjaws V,16.0,4,4800,2,8,7.083,17.0
G.Skill Flare X5,32.0,5,6000,2,16,10.0,30.0
TEAMGROUP T-Create Expert,32.0,5,6000,2,16,10.0,30.0
G.Skill Ripjaws V,16.0,4,3200,2,8,10.0,16.0
TEAMGROUP T-Force Vulcan Z,16.0,4,3200,2,8,10.0,16.0
Corsair Vengeance RGB,32.0,5,6000,2,16,13.333,40.0
Corsair Vengeance LPX,16.0,4,3600,2,8,10.0,18.0
G.Skill Ripjaws V,32.0,4,3200,2,16,10.0,16.0
Corsair Dominator Titanium,64.0,5,6600,2,32,9.697,32.0
G.Skill Flare X5,32.0,5,6000,2,16,10.667,32.0
Corsair Vengeance LPX,32.0,4,3200,2,16,10.0,16.0
Corsair Vengeance,32.0,5,5200,2,16,15.385,40.0
G.Skill Ripjaws S5,32.0,5,6000,2,16,10.0,30.0
Corsair Vengeance RGB,64.0,5,6000,2,32,10.0,30.0
TEAMGROUP T-Force Vulcan Z,32.0,4,3600,2,16,10.0,18.0
Corsair Vengeance RGB Pro SL,32.0,4,3600,2,16,10.0,18.0
Kingston FURY Beast RGB,16.0,5,6000,2,8,12.0,36.0
TEAMGROUP T-Force Vulcan Z,32.0,4,3200,2,16,10.0,16.0
Silicon Power Value Gaming,32.0,5,6000,2,16,10.0,30.0
Silicon Power GAMING,32.0,4,3200,2,16,10.0,16.0
G.Skill Trident Z5 Neo,64.0,5,6000,2,32,10.0,30.0
Corsair Vengeance RGB,32.0,5,6000,2,16,10.0,30.0
Kingston FURY Beast,16.0,4,3200,2,8,10.0,16.0
G.Skill Trident Z5 RGB,32.0,5,7200,2,16,9.444,34.0
Corsair Vengeance LPX,64.0,4,3200,2,32,10.0,16.0
TEAMGROUP T-Force Delta RGB,32.0,4,3600,2,16,10.0,18.0
Kingston FURY Beast,32.0,5,6000,2,16,12.0,36.0
G.Skill Trident Z5 RGB,32.0,5,6400,2,16,10.0,32.0
Corsair Vengeance RGB,128.0,5,5600,4,32,14.286,40.0
G.Skill Trident Z RGB,32.0,4,3200,2,16,10.0,16.0
Corsair Vengeance,64.0,5,6400,2,32,10.0,32.0
Corsair Vengeance,32.0,5,6000,2,16,12.0,36.0
TEAMGROUP T-Force Delta RGB,16.0,4,3600,2,8,10.0,18.0
TEAMGROUP T-Force Vulcan,32.0,5,6000,2,16,10.0,30.0
G.Skill Ripjaws V,16.0,4,3600,2,8,8.889,16.0
G.Skill Trident Z5 RGB,48.0,5,8400,2,24,9.524,40.0
Corsair Vengeance RGB,32.0,5,5200,2,16,15.385,40.0
G.Skill Flare X5,64.0,5,6000,2,32,10.0,30.0
Silicon Power SP016GBLFU320B22,16.0,4,3200,2,8,13.75,22.0
Kingston FURY Beast,16.0,5,6000,2,8,13.333,40.0
Silicon Power SP032GBLVU560FD2AD,32.0,5,5600,2,16,16.429,46.0
TEAMGROUP T-Create Classic,32.0,5,5600,2,16,16.429,46.0
G.Skill Ripjaws V,32.0,4,3600,2,16,8.889,16.0
Kingston FURY Beast RGB,32.0,5,6000,2,16,12.0,36.0
G.Skill Trident Z,32.0,5,6000,2,16,13.333,40.0
Crucial Pro,32.0,4,3200,2,16,13.75,22.0
G.Skill Trident Z RGB,16.0,4,3600,2,8,10.0,18.0
Kingston FURY Beast,32.0,4,3200,2,16,10.0,16.0
Corsair Dominator Platinum RGB,32.0,5,6200,2,16,11.613,36.0
Crucial CT2K8G48C40U5,16.0,5,4800,2,8,16.667,40.0
TEAMGROUP T-Create Expert,32.0,5,6400,2,16,10.0,32.0
G.Skill Ripjaws S5,32.0,5,6000,2,16,12.0,36.0
Crucial Pro Overclocking,32.0,5,6000,2,16,12.0,36.0
G.Skill Trident Z5 Neo RGB,64.0,5,6000,2,32,10.0,30.0
Crucial Pro,64.0,5,5600,2,32,16.429,46.0
Corsair Vengeance RGB,192.0,5,5200,4,48,14.615,38.0
Corsair Vengeance,32.0,5,6400,2,16,10.0,32.0
TEAMGROUP T-Force Vulcan,32.0,5,6000,2,16,12.667,38.0
ADATA XPG Lancer Blade,32.0,5,6000,2,16,10.0,30.0
Lexar THOR OC,32.0,5,6000,2,16,10.667,32.0
Silicon Power XPOWER Zenith Gaming,32.0,5,6000,2,16,10.0,30.0
Patriot Viper Venom,16.0,5,5200,2,8,13.846,36.0
Corsair Vengeance,64.0,5,6000,2,32,10.0,30.0
TEAMGROUP Vulcan Z,16.0,4,3600,2,8,10.0,18.0
Corsair Vengeance RGB Pro,256.0,4,3000,8,32,10.667,16.0
Corsair Vengeance RGB,32.0,5,6400,2,16,10.0,32.0
Corsair Vengeance,128.0,5,5600,4,32,14.286,40.0
Corsair Vengeance RGB Pro,32.0,4,3200,2,16,10.0,16.0
Corsair Vengeance LPX,32.0,4,3866,4,8,9.312,18.0
Corsair Dominator Titanium,32.0,5,6000,2,16,10.0,30.0
G.Skill Trident Z5 RGB,96.0,5,6800,2,48,10.0,34.0
Crucial CT25664AA667,2.0,2,667,1,2,14.993,5.0
Silicon Power XPOWER Turbine,16.0,4,3200,2,8,10.0,16.0
Corsair Vengeance LPX,8.0,4,2400,1,8,13.333,16.0
Crucial Pro,32.0,5,5600,2,16,16.429,46.0
Corsair Dominator Titanium,96.0,5,6600,2,48,9.697,32.0
TEAMGROUP Elite,16.0,5,5200,2,8,16.154,42.0
Kingston FURY Beast,8.0,4,3200,1,8,10.0,16.0
G.Skill Trident Z Neo,32.0,4,3600,2,16,8.889,16.0
TEAMGROUP T-Force Delta RGB,32.0,5,6400,2,16,12.5,40.0
G.Skill Ripjaws S5,32.0,5,5600,2,16,10.0,28.0
TEAMGROUP T-Force Delta RGB,32.0,5,6000,2,16,12.667,38.0
G.Skill Ripjaws S5,64.0,5,6000,2,32,10.0,30.0
Crucial CT16G48C40U5,16.0,5,4800,1,16,16.667,40.0
G.Skill Aegis,16.0,4,3200,2,8,10.0,16.0
Lexar Ares RGB,32.0,5,6400,2,16,10.0,32.0
Corsair Vengeance,64.0,5,6800,2,32,9.412,32.0
TEAMGROUP T-Create Classic,32.0,5,6000,2,16,16.0,48.0
G.Skill Trident Z RGB,64.0,4,3600,2,32,10.0,18.0
G.Skill Trident Z Neo,256.0,4,3200,8,32,10.0,16.0
Kingston HyperX Fury,16.0,4,3200,2,8,10.0,16.0
G.Skill Ripjaws V,64.0,4,3400,4,16,9.412,16.0
G.Skill Trident Z5 Neo,32.0,5,6000,2,16,10.0,30.0
Corsair Vengeance,16.0,3,1600,2,8,11.25,9.0
G.Skill Trident Z5 RGB,64.0,5,6800,2,32,10.0,34.0
Kingston FURY Beast,16.0,5,6000,2,8,12.0,36.0
Kingston FURY,128.0,5,5600,4,32,14.286,40.0
Corsair Vengeance,96.0,5,6400,2,48,10.0,32.0
TEAMGROUP Elite,32.0,4,3200,2,16,13.75,22.0
Kingston FURY Beast,16.0,5,5600,2,8,12.857,36.0
Patriot Viper Venom,32.0,5,6400,2,16,10.0,32.0
Corsair Vengeance RGB,32.0,5,6400,2,16,11.25,36.0
Corsair Vengeance,32.0,5,4800,2,16,16.667,40.0
Silicon Power XPOWER Turbine,32.0,4,3200,2,16,10.0,16.0
Corsair Vengeance RGB Pro,16.0,4,3600,2,8,10.0,18.0
G.Skill Ripjaws V,32.0,4,3600,2,16,10.0,18.0
G.Skill Ripjaws S5,32.0,5,6400,2,16,10.0,32.0
G.Skill Ripjaws S5,64.0,5,5600,2,32,10.0,28.0
TEAMGROUP T-Force Delta RGB,64.0,5,6000,2,32,12.667,38.0
Corsair Dominator Titanium,64.0,5,6400,4,16,10.0,32.0
ADATA XPG Lancer Blade RGB,32.0,5,6400,2,16,10.0,32.0
Corsair Vengeance RGB,64.0,5,6400,2,32,10.0,32.0
Crucial Classic,16.0,5,5600,2,8,16.429,46.0
G.Skill Ripjaws V,32.0,4,4000,2,16,9.0,18.0
Silicon Power SP016GLLTU160N22,16.0,3,1600,2,8,13.75,11.0
TEAMGROUP T-Create Expert,32.0,5,6000,2,16,12.667,38.0
Kingston HyperX Fury,8.0,4,2666,1,8,12.003,16.0
KingBank SharpBlade,32.0,5,6000,2,16,12.0,36.0
Patriot Viper Venom,32.0,5,6000,2,16,12.0,36.0
TEAMGROUP T-Force Delta RGB,32.0,5,7200,2,16,9.444,34.0
Corsair Dominator Platinum RGB,64.0,5,6600,4,16,9.697,32.0
Corsair Vengeance,192.0,5,5200,4,48,14.615,38.0
Kingston FURY Beast,16.0,5,5200,2,8,15.385,40.0
Corsair Vengeance LPX,64.0,4,3600,2,32,10.0,18.0
Crucial CT8G48C40U5,8.0,5,4800,1,8,16.667,40.0
G.Skill Aegis,32.0,4,3200,2,16,10.0,16.0
TEAMGROUP Elite,32.0,5,4800,2,16,16.667,40.0
G.Skill Trident Z5 RGB,48.0,5,8000,2,24,10.0,40.0
TEAMGROUP T-Create Expert,64.0,5,6000,2,32,11.333,34.0
ADATA XPG Lancer Blade RGB,32.0,5,6000,2,16,10.0,30.0
Corsair Vengeance LPX,16.0,4,3000,2,8,10.0,15.0
Kingston Server Premier,64.0,4,3200,1,64,13.75,22.0
Crucial CT8G4DFRA32A,8.0,4,3200,1,8,13.75,22.0
Kingston FURY Beast RGB,64.0,5,6000,2,32,12.0,36.0
Corsair Vengeance,64.0,5,5600,2,32,14.286,40.0
G.Skill Ripjaws V,16.0,4,3600,2,8,10.0,18.0
Corsair Vengeance RGB Pro,64.0,4,3600,4,16,10.0,18.0
Corsair Vengeance,32.0,5,7200,2,16,9.444,34.0
TEAMGROUP T-Force Vulcan,32.0,5,5200,2,16,15.385,40.0
Klevv BOLT V,32.0,5,6000,2,16,10.0,30.0
Corsair Vengeance,32.0,5,5600,2,16,14.286,40.0
Kingston ValueRAM,4.0,4,2666,1,4,14.254,19.0
TEAMGROUP T-Force Delta RGB,32.0,5,6400,2,16,10.0,32.0
Crucial Pro,96.0,5,5600,2,48,16.429,46.0
TEAMGROUP T-Force Delta RGB,16.0,4,3200,2,8,10.0,16.0
G.Skill Trident Z RGB,16.0,4,3200,2,8,10.0,16.0
Corsair Dominator Platinum RGB,64.0,5,6800,2,32,11.765,40.0
G.Skill Ripjaws S5,64.0,5,6400,2,32,10.0,32.0
Corsair Vengeance RGB Pro,32.0,4,3200,4,8,10.0,16.0
Corsair Vengeance RGB,32.0,5,5600,2,16,14.286,40.0
G.Skill Trident Z RGB,32.0,4,3600,2,16,10.0,18.0
Corsair Vengeance,96.0,5,6000,2,48,10.0,30.0
Samsung Green,8.0,4,2133,1,8,14.065,15.0
ADATA XPG SPECTRIX D50,16.0,4,3200,2,8,10.0,16.0
TEAMGROUP T-Create Expert,32.0,4,3600,2,16,10.0,18.0
Corsair Dominator Titanium,64.0,5,6000,2,32,10.0,30.0
Supermicro MEM-DR412L-SL02-LR26,128.0,4,2666,1,128,16.504,22.0
TEAMGROUP Elite,16.0,4,3200,2,8,13.75,22.0
Kingston FURY Beast,16.0,4,3600,2,8,9.444,17.0
Kingston FURY Beast,128.0,5,5600,4,32,14.286,40.0
Samsung M378A1K43CB2-CRC,8.0,4,2400,1,8,14.167,17.0
G.Skill Trident Z5 RGB,32.0,5,7600,2,16,9.474,36.0
Kingston ValueRAM,4.0,4,3200,1,4,13.75,22.0
Corsair Vengeance RGB,32.0,5,7200,2,16,9.444,34.0
G.Skill Trident Z5 Neo RGB,32.0,5,6400,2,16,10.0,32.0
Patriot Viper Elite 5 RGB,32.0,5,6200,2,16,13.548,42.0
Crucial Pro,64.0,4,3200,2,32,13.75,22.0
G.Skill Trident Z5 RGB,32.0,5,7800,2,16,9.231,36.0
G.Skill Trident Z RGB,128.0,4,3600,4,32,10.0,18.0
Corsair Vengeance RGB,96.0,5,6000,2,48,10.0,30.0
G.Skill Ripjaws V,32.0,4,4400,2,16,8.636,19.0
KingBank SharpBlade RGB,32.0,5,6400,2,16,10.0,32.0
Patriot Viper Venom,32.0,5,7000,2,16,9.143,32.0
Corsair Vengeance LPX,16.0,4,2666,2,8,12.003,16.0
Samsung M378A2K43CB1-CTD,16.0,4,2666,1,16,14.254,19.0
Corsair Vengeance,16.0,5,5200,1,16,15.385,40.0
TEAMGROUP T-Create Expert,32.0,4,3200,2,16,10.0,16.0
Crucial Ballistix,16.0,4,3200,2,8,10.0,16.0
Corsair Dominator Titanium,96.0,5,6000,4,24,10.0,30.0
TEAMGROUP T-Force Delta RGB,32.0,5,5600,2,16,11.429,32.0
TEAMGROUP T-Force Vulcan,32.0,5,6400,2,16,10.0,32.0
G.Skill Ripjaws X,16.0,3,1600,2,8,12.5,10.0
Klevv BOLT X,16.0,4,3600,2,8,10.0,18.0
G.Skill Aegis,16.0,4,3000,2,8,10.667,16.0
G.Skill Ripjaws S5,96.0,5,6400,2,48,10.0,32.0
Corsair Dominator Titanium,32.0,5,7200,2,16,9.444,34.0
Kingston FURY Beast,32.0,5,5600,2,16,12.857,36.0
Crucial CT64G4YFQ426S,64.0,4,2666,1,64,14.254,19.0
Kingston FURY Beast RGB,16.0,4,3200,2,8,10.0,16.0
G.Skill Trident Z Royal,32.0,4,3600,2,16,10.556,19.0
Patriot Viper Steel,32.0,4,3200,2,16,10.0,16.0
TEAMGROUP T-Create Classic,16.0,4,3200,2,8,13.75,22.0
TEAMGROUP Elite,16.0,5,4800,2,8,16.667,40.0
Patriot Viper Steel,16.0,4,3200,2,8,10.0,16.0
G.Skill Trident Z Royal,256.0,4,3600,8,32,10.0,18.0
Patriot Viper 4 Blackout,64.0,4,3600,2,32,10.0,18.0
Patriot Viper Xtreme 5,32.0,5,8200,2,16,9.268,38.0
G.Skill Trident Z5 RGB,32.0,5,6000,2,16,10.0,30.0
G.Skill Ripjaws V,64.0,4,3600,2,32,10.0,18.0
TEAMGROUP Elite Plus,16.0,5,4800,2,8,16.667,40.0
Kingston FURY Beast,64.0,5,6000,2,32,12.0,36.0
Corsair Vengeance,64.0,5,6600,4,16,9.697,32.0
Corsair Vengeance LPX,32.0,4,3600,2,16,8.889,16.0
Corsair Vengeance LPX,16.0,4,3000,1,16,10.667,16.0
G.Skill Trident Z5 RGB,32.0,5,8000,2,16,9.5,38.0
Corsair Dominator Platinum RGB,64.0,5,5600,2,32,14.286,40.0
TEAMGROUP T-Force Vulcan,32.0,5,5600,2,16,11.429,32.0
Corsair Vengeance RGB Pro,64.0,4,3200,2,32,10.0,16.0
Kingston FURY Beast RGB,16.0,5,6000,2,8,13.333,40.0
Corsair Vengeance RGB,64.0,5,6000,2,32,13.333,40.0
Corsair Vengeance LPX,128.0,4,3200,4,32,10.0,16.0
Kingston KVR1333D3N9HK2/8G,8.0,3,1333,2,4,13.503,9.0
Corsair Dominator Titanium,48.0,5,7600,2,24,9.474,36.0
Corsair Vengeance RGB,64.0,5,6000,4,16,12.0,36.0
TEAMGROUP Elite,16.0,5,4800,1,16,16.667,40.0
Corsair Vengeance LPX,16.0,4,3600,2,8,8.889,16.0
G.Skill Trident Z Royal,128.0,4,3200,4,32,10.0,16.0
Corsair Vengeance LPX,32.0,4,3600,4,8,10.0,18.0
Corsair Vengeance,96.0,5,5200,2,48,14.615,38.0
TEAMGROUP T-Create Expert,32.0,5,7200,2,16,9.444,34.0
G.Skill Trident Z RGB,256.0,4,3600,8,32,8.889,16.0
Kingston FURY Beast,32.0,4,3600,2,16,10.0,18.0
G.Skill Trident Z Neo,16.0,4,3600,2,8,8.889,16.0
Lexar THOR,32.0,4,3200,2,16,10.0,16.0
OLOy MD4U0836180BHKDA,16.0,4,3600,2,8,10.0,18.0
Corsair Dominator Titanium,48.0,5,7200,2,24,10.0,36.0
Crucial CT16G4DFRA32A,16.0,4,3200,1,16,13.75,22.0
TEAMGROUP Elite,16.0,4,3200,1,16,13.75,22.0
Crucial CT2K16G48C40U5,32.0,5,4800,2,16,16.667,40.0
G.Skill Trident Z RGB,96.0,5,6400,2,48,10.0,32.0
OLOy OWL RGB,16.0,4,3200,2,8,10.0,16.0
G.Skill Trident Z5 RGB,64.0,5,6000,2,32,10.0,30.0
Kingston FURY Beast,16.0,4,3200,1,16,10.0,16.0
Corsair Vengeance LPX,16.0,4,2400,2,8,13.333,16.0
Patriot Signature Premium,16.0,4,2666,1,16,14.254,19.0
Kingston FURY,32.0,5,6000,2,16,13.333,40.0
TEAMGROUP T-Force Vulcan Z,64.0,4,3200,2,32,10.0,16.0
Mushkin Redline ST,64.0,5,6400,2,32,9.375,30.0
G.Skill Trident Z RGB,32.0,4,3200,4,8,10.0,16.0
Corsair Vengeance RGB RS,16.0,4,3200,2,8,10.0,16.0
Kingston FURY Beast,16.0,5,5200,1,16,15.385,40.0
TEAMGROUP T-Force Delta RGB,32.0,4,3200,2,16,10.0,16.0
Samsung M378B5173DB0-CK0,4.0,3,1600,1,4,13.75,11.0
OLOy MD4U1636181CHKDA,32.0,4,3600,2,16,10.0,18.0
Kingston FURY Beast RGB,128.0,5,5200,4,32,15.385,40.0
TEAMGROUP Elite,64.0,4,3200,2,32,13.75,22.0
G.Skill Trident Z5 RGB,32.0,5,5600,2,16,10.0,28.0
G.Skill Ripjaws S5,32.0,5,6000,2,16,10.667,32.0
Corsair Vengeance,96.0,5,5600,2,48,14.286,40.0
Corsair Vengeance RGB RT,32.0,4,4600,2,16,7.826,18.0
Corsair Vengeance RGB RT,256.0,4,3600,8,32,10.0,18.0
TEAMGROUP T-Create Expert,64.0,5,6400,2,32,10.625,34.0
Corsair Vengeance RGB,64.0,5,6600,2,32,9.697,32.0
Corsair Vengeance RGB RS,32.0,4,3200,2,16,10.0,16.0
Kingston KVR13N9S6/2,2.0,3,1333,1,2,13.503,9.0
Patriot Viper 3,16.0,3,1866,2,8,10.718,10.0
G.Skill Trident Z5 RGB,96.0,5,6400,2,48,10.0,32.0
G.Skill Trident Z RGB,32.0,4,4000,2,16,9.0,18.0
Corsair Vengeance RGB,96.0,5,6800,2,48,11.765,40.0
Corsair Vengeance LPX,32.0,4,2133,2,16,12.189,13.0
Patriot Signature Line,8.0,5,4800,1,8,16.667,40.0
Lexar THOR,16.0,4,3200,2,8,10.0,16.0
Kingston HyperX Fury,32.0,4,3200,2,16,10.0,16.0
Corsair Vengeance,64.0,5,6600,2,32,9.697,32.0
Corsair Vengeance,32.0,5,5200,1,32,15.385,40.0
Corsair Dominator Titanium,32.0,5,6600,2,16,9.697,32.0
Kingston KVR16N11/8,8.0,3,1600,1,8,13.75,11.0
Corsair Dominator Platinum RGB,32.0,5,6000,2,16,10.0,30.0
Corsair Vengeance RGB RT,32.0,4,3600,2,16,8.889,16.0
Kingston FURY Beast RGB,16.0,5,5600,2,8,14.286,40.0
Patriot Signature,8.0,3,1600,1,8,13.75,11.0
Timetec PINNACLE Konduit,32.0,4,3600,2,16,10.0,18.0
G.Skill Ripjaws S5,96.0,5,6800,2,48,10.0,34.0
Corsair Dominator Platinum RGB,64.0,5,5600,4,16,12.857,36.0
TEAMGROUP T-Create Expert,16.0,4,3600,2,8,10.0,18.0
Corsair Vengeance RGB,48.0,5,7600,2,24,9.474,36.0
Kingston FURY Beast,32.0,5,5200,2,16,15.385,40.0
G.Skill Ripjaws V,8.0,4,2400,1,8,12.5,15.0
Kingston FURY Beast RGB,32.0,4,3200,2,16,10.0,16.0
TEAMGROUP T-Create Expert,16.0,4,3200,2,8,10.0,16.0
Kingston FURY Beast RGB,16.0,5,5600,2,8,12.857,36.0
Corsair Vengeance RGB Pro,64.0,4,3600,2,32,10.0,18.0
Corsair Vengeance,64.0,5,4800,2,32,16.667,40.0
G.Skill Ripjaws V,16.0,4,3200,1,16,10.0,16.0
Kingston FURY,128.0,5,5200,4,32,15.385,40.0
Corsair Vengeance LPX,32.0,4,2666,2,16,12.003,16.0
Patriot Viper Elite II,16.0,4,4000,2,8,10.0,20.0
Crucial Classic,8.0,5,5600,1,8,16.429,46.0
Silicon Power GAMING,16.0,4,3600,2,8,10.0,18.0
TEAMGROUP T-Force Vulcan,32.0,5,5600,2,16,12.857,36.0
G.Skill Trident Z5 RGB,48.0,5,8200,2,24,9.756,40.0
G.Skill Ripjaws S5,64.0,5,6800,2,32,10.0,34.0
G.Skill TridentZ RGB,32.0,4,4800,2,16,8.333,20.0
Kingston FURY Beast RGB,32.0,5,5600,2,16,12.857,36.0
Corsair Vengeance,64.0,5,5600,4,16,12.857,36.0
Kingston FURY Beast,16.0,5,4800,2,8,15.833,38.0
Corsair Vengeance RGB,64.0,5,5200,2,32,15.385,40.0
G.Skill Ripjaws V,64.0,4,4400,2,32,8.636,19.0
Corsair Dominator Platinum RGB,32.0,4,3200,2,16,10.0,16.0
TEAMGROUP T-Create Expert,96.0,5,6800,2,48,10.588,36.0
Crucial CT2K8G4DFRA32A,16.0,4,3200,2,8,13.75,22.0
ADATA XPG GAMMIX D10,16.0,4,3200,1,16,10.0,16.0
OLOy MD4U083216BJDA,16.0,4,3200,2,8,10.0,16.0
TEAMGROUP Elite,16.0,5,6000,1,16,16.0,48.0
G.Skill Trident Z RGB,32.0,4,4400,2,16,8.636,19.0
Corsair Vengeance LPX,32.0,4,4000,2,16,9.0,18.0
Kingston FURY Renegade,16.0,4,5333,2,8,7.5,20.0
Corsair Vengeance LPX,64.0,4,3200,4,16,10.0,16.0
TEAMGROUP Elite Plus,64.0,5,4800,2,32,16.667,40.0
Kingston HyperX Fury,16.0,4,2666,2,8,12.003,16.0
Kingston HyperX Fury,16.0,3,1866,2,8,10.718,10.0
Corsair Vengeance RGB,32.0,5,6200,2,16,11.613,36.0
TEAMGROUP T-Force Vulcan,16.0,5,5200,2,8,15.385,40.0
G.Skill Ripjaws X,8.0,3,1600,2,4,11.25,9.0
TEAMGROUP Elite,32.0,5,5600,2,16,16.429,46.0
Silicon Power XPOWER Zenith Gaming,32.0,4,3200,2,16,10.0,16.0
Corsair Vengeance LPX,16.0,4,3000,2,8,10.667,16.0
Corsair Vengeance,64.0,5,6000,2,32,13.333,40.0
PNY XLR8,16.0,4,3200,2,8,10.0,16.0
Crucial CT4K32G4LFQ4213,128.0,4,2133,4,32,14.065,15.0
Corsair Dominator Titanium,32.0,5,7000,2,16,9.714,34.0
Gigabyte AORUS RGB,32.0,5,6000,2,16,13.333,40.0
G.Skill Trident Z5 RGB,32.0,5,6800,2,16,10.0,34.0
Kingston FURY Beast,16.0,5,5200,2,8,13.846,36.0
Crucial CT4G4DFS8266,4.0,4,2666,1,4,14.254,19.0
Corsair Vengeance RGB Pro SL,64.0,4,3600,4,16,10.0,18.0
Kingston FURY Renegade,32.0,4,3600,2,16,8.889,16.0
TEAMGROUP T-Create Classic,64.0,5,6000,2,32,16.0,48.0
Timetec PINNACLE Konduit,16.0,4,3200,2,8,10.0,16.0
OLOy Blade RGB,64.0,5,6400,2,32,10.0,32.0
Patriot Signature Line,8.0,4,3200,1,8,13.75,22.0
Corsair Vengeance,32.0,5,6400,2,16,11.25,36.0
TEAMGROUP T-Force Delta RGB,48.0,5,8200,2,24,9.268,38.0
Kingston FURY Beast,32.0,5,4800,2,16,15.833,38.0
Corsair Dominator Platinum RGB,32.0,5,7600,2,16,9.474,36.0
G.Skill Trident Z Neo,64.0,4,3600,4,16,8.889,16.0
Kingston FURY Beast RGB,16.0,4,3600,2,8,9.444,17.0
Silicon Power XPOWER Zenith Gaming,64.0,5,6000,2,32,10.0,30.0
Corsair Dominator Titanium,32.0,5,6400,2,16,10.0,32.0
Patriot Viper Steel,8.0,4,3200,2,4,10.0,16.0
TEAMGROUP T-Force Vulcan Z,16.0,4,3600,2,8,10.0,18.0
Lexar Ares RGB,32.0,5,6000,2,16,11.333,34.0
G.Skill Trident Z5 RGB,64.0,5,6000,2,32,12.0,36.0
Crucial Pro,48.0,5,6000,2,24,16.0,48.0
Corsair Vengeance RGB Pro SL,16.0,4,3200,2,8,10.0,16.0
KingBank SharpBlade,32.0,5,6800,2,16,10.0,34.0
G.Skill Aegis,32.0,4,3000,2,16,10.667,16.0
Corsair Vengeance LPX,32.0,4,3200,4,8,10.0,16.0
ADATA XPG SPECTRIX D60G,16.0,4,3200,2,8,10.0,16.0
Crucial Ballistix,16.0,4,3600,2,8,8.889,16.0
Crucial Classic,16.0,5,5200,2,8,16.154,42.0
Patriot Viper Venom,16.0,5,5600,2,8,14.286,40.0
G.Skill Trident Z5 Neo,32.0,5,5600,2,16,10.0,28.0
TEAMGROUP T-Create Expert,48.0,5,7200,2,24,9.444,34.0
Kingston Server Premier,32.0,4,3200,1,32,13.75,22.0
Corsair Vengeance RGB,96.0,5,6600,2,48,9.697,32.0
Corsair Vengeance,96.0,5,6600,2,48,9.697,32.0
G.Skill Ripjaws V,64.0,4,3200,4,16,10.0,16.0
Kingston FURY Renegade,16.0,4,5133,2,8,7.793,20.0
Corsair Dominator Titanium First Edition,64.0,5,6600,2,32,9.697,32.0
G.Skill Ripjaws S5,48.0,5,6400,2,24,10.0,32.0
G.Skill Ripjaws 4,8.0,4,2400,1,8,12.5,15.0
Corsair Vengeance LPX,16.0,4,2133,2,8,12.189,13.0
G.Skill Trident Z Royal,16.0,4,3200,2,8,10.0,16.0
KingBank SharpBlade RGB,64.0,5,6400,2,32,10.0,32.0
Kingston FURY Beast RGB,16.0,5,5200,2,8,15.385,40.0
TEAMGROUP Elite,16.0,3,1600,2,8,13.75,11.0
G.Skill Ripjaws S5,32.0,5,6800,2,16,10.0,34.0
Corsair Vengeance,32.0,5,6600,2,16,9.697,32.0
TEAMGROUP T-Force Delta RGB,32.0,5,6200,2,16,12.258,38.0
G.Skill Trident Z Royal,128.0,4,4000,4,32,9.0,18.0
OLOy MD4U083016BGDA,16.0,4,3000,2,8,10.667,16.0
Corsair Dominator Platinum RGB,64.0,5,6000,2,32,10.0,30.0
Corsair Vengeance,32.0,5,6000,2,16,13.333,40.0
G.Skill Flare X5,32.0,5,5600,2,16,10.714,30.0
TEAMGROUP Elite,16.0,5,5600,1,16,16.429,46.0
Kingston HyperX Fury,8.0,4,3200,1,8,11.25,18.0
Mushkin Redline Lumina White,64.0,5,6400,2,32,9.375,30.0
TEAMGROUP T-Force Delta RGB,32.0,5,5200,2,16,15.385,40.0
Corsair Vengeance RGB,96.0,5,6000,4,24,13.333,40.0
TEAMGROUP T-Force Delta RGB,32.0,5,6600,2,16,10.303,34.0
G.Skill Trident Z5 Neo,32.0,5,6000,2,16,10.667,32.0
Kingston FURY Beast,32.0,5,5600,1,32,14.286,40.0
Corsair Dominator Titanium,96.0,5,6400,2,48,10.0,32.0
TEAMGROUP T-Force Vulcan,64.0,5,6000,2,32,12.667,38.0
G.Skill Ripjaws V,16.0,4,2400,2,8,12.5,15.0
TEAMGROUP T-Force Delta RGB,32.0,5,5600,2,16,12.857,36.0
Crucial Ballistix,32.0,4,3200,2,16,10.0,16.0
